;deterministic;time
97;1,74;2018-04-30 06:00:00
98;1,76;2018-04-30 09:00:00
99;1,75;2018-04-30 12:00:00
100;1,72;2018-04-30 15:00:00
101;1,67;2018-04-30 18:00:00
102;1,62;2018-04-30 21:00:00
103;1,61;2018-05-01 00:00:00
104;1,6;2018-05-01 03:00:00
105;1,59;2018-05-01 06:00:00
106;1,6;2018-05-01 09:00:00
107;1,6;2018-05-01 12:00:00
108;1,58;2018-05-01 15:00:00
109;1,55;2018-05-01 18:00:00
110;1,51;2018-05-01 21:00:00
111;1,47;2018-05-02 00:00:00
112;1,43;2018-05-02 03:00:00
113;1,38;2018-05-02 06:00:00
114;1,35;2018-05-02 09:00:00
115;1,33;2018-05-02 12:00:00
116;1,33;2018-05-02 15:00:00
117;1,35;2018-05-02 18:00:00
118;1,37;2018-05-02 21:00:00
119;1,38;2018-05-03 00:00:00
120;1,38;2018-05-03 03:00:00
121;1,36;2018-05-03 06:00:00
122;1,34;2018-05-03 09:00:00
123;1,34;2018-05-03 12:00:00
124;1,34;2018-05-03 15:00:00
125;1,31;2018-05-03 18:00:00
126;1,29;2018-05-03 21:00:00
127;1,27;2018-05-04 00:00:00
128;1,25;2018-05-04 03:00:00
129;1,23;2018-05-04 06:00:00
130;1,2;2018-05-04 09:00:00
131;1,19;2018-05-04 12:00:00
132;1,19;2018-05-04 15:00:00
133;1,19;2018-05-04 18:00:00
134;1,17;2018-05-04 21:00:00
135;1,14;2018-05-05 00:00:00
136;1,11;2018-05-05 03:00:00
137;1,11;2018-05-05 06:00:00
138;1,12;2018-05-05 09:00:00
139;1,14;2018-05-05 12:00:00
140;1,16;2018-05-05 15:00:00
141;1,17;2018-05-05 18:00:00
142;1,17;2018-05-05 21:00:00
143;1,17;2018-05-06 00:00:00
144;1,16;2018-05-06 03:00:00
145;1,14;2018-05-06 06:00:00
146;1,14;2018-05-06 09:00:00
147;1,16;2018-05-06 12:00:00
148;1,2;2018-05-06 15:00:00
149;1,24;2018-05-06 18:00:00
150;1,26;2018-05-06 21:00:00
151;1,28;2018-05-07 00:00:00
152;1,31;2018-05-07 03:00:00
153;1,33;2018-05-07 06:00:00
154;1,33;2018-05-07 09:00:00
155;1,34;2018-05-07 12:00:00
156;1,35;2018-05-07 15:00:00
157;1,34;2018-05-07 18:00:00
158;1,31;2018-05-07 21:00:00
159;1,29;2018-05-08 00:00:00
160;1,31;2018-05-08 03:00:00
161;1,37;2018-05-08 06:00:00
162;1,45;2018-05-08 09:00:00
163;1,48;2018-05-08 12:00:00
164;1,45;2018-05-08 15:00:00
165;1,39;2018-05-08 18:00:00
166;1,33;2018-05-08 21:00:00
167;1,3;2018-05-09 00:00:00
168;1,26;2018-05-09 03:00:00
169;1,22;2018-05-09 06:00:00
170;1,2;2018-05-09 09:00:00
171;1,21;2018-05-09 12:00:00
172;1,22;2018-05-09 15:00:00
173;1,2;2018-05-09 18:00:00
174;1,22;2018-05-09 21:00:00
175;1,29;2018-05-10 00:00:00
176;1,37;2018-05-10 03:00:00
177;1,41;2018-05-10 06:00:00
178;1,41;2018-05-10 09:00:00
179;1,41;2018-05-10 12:00:00
180;1,4;2018-05-10 15:00:00
181;1,38;2018-05-10 18:00:00
182;1,37;2018-05-10 21:00:00
183;1,37;2018-05-11 00:00:00
184;1,4;2018-05-11 03:00:00
185;1,44;2018-05-11 06:00:00
186;1,53;2018-05-11 09:00:00
187;1,63;2018-05-11 12:00:00
188;1,71;2018-05-11 15:00:00
189;1,74;2018-05-11 18:00:00
190;1,78;2018-05-11 21:00:00
191;1,84;2018-05-12 00:00:00
192;1,9;2018-05-12 03:00:00
193;1,95;2018-05-12 06:00:00
194;1,96;2018-05-12 09:00:00
195;1,96;2018-05-12 12:00:00
196;1,92;2018-05-12 15:00:00
197;1,84;2018-05-12 18:00:00
198;1,79;2018-05-12 21:00:00
199;1,84;2018-05-13 00:00:00
